name,rating,price,url,description,instruction,country
Парфюмерная вода Guerlain  Aqua Allegoria Forte Mandarine Basilic,4.4,12 880,https://goldapple.ru/19000113126-aqua-allegoria-forte-mandarine-basilic,"Mandarine Basilic Forte - аромат в котором яркий итальянский мандарин сияет под золотистым светом заходящего солнца.  Он сочетается с теплотой ванили и чарующей силой сандалового дерева.

Aqua Allegoria Forte – это тёплое и обволакивающее путешествие по самым красивым садам мира. Парфюмерные воды, вдохновлённые чудесами природы.

Настоящая ода чудесам природы, ароматы Aqua Allegoria являются отражением бережного отношения Guerlain к природным ресурсам. Они содержат до 95% натуральных ингредиентов*, изготовляются на основе органического свекольного спирта и помещены во флакон, состоящий на 15% из переработанного стекла, созданного полностью во Франции.

*От 90 до 95% ингредиентов натурального происхождения, в соответствии со стандартом ISO 16128, учитывая качество воды.",-,Франция
Парфюмерная вода TUMI  Kinetic --:-- gmt,5.0,7 490,https://goldapple.ru/19000215488,"Насыщенный, стойкий и вдохновляющий аромат TUMI отражает уникальный путь амбициозного и решительного человека, которым движет страсть к жизни и стремление к инновациям. 
Его уверенность и превосходство отражены в соблазнительном сочетании нот ладана, цветка бессмертника и мускатного ореха. 
В привлекательном шлейфе переплетаются дымная ваниль, теплота сандала и благородное звучание тикового дерева. 
",Только для наружного применения.,США
Ароматическая свеча А помнишь…  Разговоры по душам,-,2 117,https://goldapple.ru/19000290308-razgovory-po-dusam,Ароматическая свеча из кокосового воска с ароматом хлопка и сигары в стеклянной банке с бамбуковой крышкой.,"Поставить свечу на ровную поверхность, зажечь. Минимальное время горения - 40 минут, чтобы растопился верхний слой воска, максимальное - 3 - 4 часа. Тушить крышкой (не задувать!).",Россия
Парфюмерная вода RHIZOME  Tropical Dance,4.9,4 795,https://goldapple.ru/19000198175-tropical-dance,"Парфюмерная вода Tropical Dance – это воплощение ритмичного танца радости на тропическом острове. Аромат RHIZOME отражает сочность и сладость экзотических фруктов и полное загадок богатство тропической природы. 
Яркая композиция с фруктовыми, смолистыми и древесными нотами вызывает ассоциации с беззаботным путешествием, отдыхом и ночными приключениями в далеких и райских уголках мира.

",Только для наружного применения.,Италия
Парфюмерная вода MILANO FRAGRANZE  La Prima,5.0,8 489,https://goldapple.ru/19000063333-la-prima,"Миланская элита готовится к открытию театрального сезона. Одна из девушек не остается незамеченной.  
Она хочет, чтобы все взгляды были прикованы к ней, и знает, что может добиться этого. 
Привлечь внимание позволяют чарующие ноты жасмина, цветов апельсина и опьяняющего османтуса.  
Этот аромат MILANO FRAGRANZE - величественное, чувственное изобилие цветов в сочетании с роскошью редкого аккорда меха.  
Элегантную, вечернюю композицию дополняют яркий кардамон, давана и нежная сладость ванили. 
Парфюмер - Violaine Collas.",Нанести на кожу,Италия
Парфюмерная вода SOLINOTES  GRENADE,4.5,975,https://goldapple.ru/19000026993-grenade,"Парфюмерная вода SOLINOTES – это хорошее настроение в стильном и современном флаконе. Фруктовый и пикантный аромат способен зарядить позитивными эмоциями и подчеркнуть яркую индивидуальность. Ключевая нота парфюмерной композиции – сочный гранат, окруженный восхитительным ягодным аккордом. Аромат погружает в яркую фруктовую свежесть, смягченную нежностью мускуса и бодрящей нотой лимона. Парфюмерную воду можно сочетать с другими композициями бренда, чтобы создать свой неповторимый микс любимых нот, или использовать отдельно, наслаждаясь ярким звучанием ноты спелого граната. 
  
",только для наружного применения.,Франция
Парфюмерная вода BESO BEACH  Beso dorado,4.6,12 278,https://goldapple.ru/19000163478-beso-dorado,"Beso Dorado Eau de Parfum Beso Beach, выпущенный в 2023 году, классифицируется как унисекс-аромат и принадлежит семействам Древесные, Цветочные, Восточные и Бальзамические. Над ним работал мастер-парфюмер Доминик Ропьон.",-,Испания
Парфюмерная вода L'atelier parfum  DOUCE INSOMNIE,4.6,1 820,https://goldapple.ru/19000009356-douce-insomnie,"Вдохновением для создания чувственной и гипнотической композиции DOUCE INSOMNIE от L’ATELIER PARFUM стала чашка горячего капучино. Нежная молочная пена, бодрящая арабика, шоколадная крошка для украшения – каждая деталь отражена в этом насыщенном аромате. Благодаря пьянящему гелиотропу, ирису и древесным нотам кофейный аромат обретает изысканность и глубину. Гармония ароматного капучино, сандала, пробуждающего чувства, и цветочных нот отражает позднюю ночь, когда стирается грань между реальностью и сном. Парфюмер – Alexis Dadier. 

Верхние ноты: цветок апельсина, розовый перец  

Ноты сердца: капучино, жасмин, гелиотроп
  
Базовые ноты: ваниль, ирис, сандал, пачули  

",-,Франция
Парфюмерная вода FRANCK BOCLET  TOBACCO,4.7,10 140,https://goldapple.ru/26140100008-tobacco,"Tоbacco Franck Boclet - притягательный аромат для нее и для него. Семейство древесный, гурманский и восточный. Верхние ноты: имбирь, табак, слива. Ноты сердца: гвоздика, бобы тонка, кедр.",-,Франция
Ароматический диффузор Logevy Firenze 1965  Rosso Perverso,-,13 500,https://goldapple.ru/19000196063-rosso-perverso,"Аромат, успевший стать культовым!
Гармоничный, с интенсивной ярко-бордовой ноткой вина Первесо. Современный аромат, восходящий к эпохе Возрождения.
","Окуните все палочки во флакон; для более интенсивного распространения аромата переворачивайте палочки несколько раз в день. Регулировать аромат можно уменьшая или увеличивая число палочек. Палочки играют основную роль в интенсивности ароматизации, чем больше палочек, тем аромат насыщеннее. Для достижения лучших результатов, флакон не стоит никогда выставлять на прямой солнечный свет или ставить рядом с источниками тепла, так как под его воздействием происходит испарение аромата.",Италия
Парфюмерная вода MiSS KAY.  Seeing double,4.5,594,https://goldapple.ru/19000164111-seeing-double,"Будь собой и создавай воспоминания. Глубокий унисекс-аромат подталкивает к жизни на полную громкость. Ноты грейпфрута, апельсина, розового перца, жасмина, лакрицы, османтуса, сандала, амбры и белого мускуса вдохновляют и дарят уверенность. Удобный формат флакона легко носить с собой. MiSS KAY. — аромат для каждого случая, настроения и момента. 
",Распылять на расстоянии 20-30 см.,Италия
Парфюмерная вода Liquides Imaginaires  Fortis,4.7,15 592,https://goldapple.ru/19760302804-fortis,"Fortis в переводе с латыни – «сильный». Этот чувственный аромат Liquides Imaginaires пробуждает, избавляет от мрачных мыслей, укрепляет тело и дух. Тёмный, как чернила для каллиграфии, он становится тенью, которая всюду следует за владельцем, придаёт ему силу и окружает согревающей дымкой, сотканной из древесных нот и аромата специй. Мистический уд, шафран, гуаяк и пачули усиливают магию композиции. 

Ключевые ноты: шафран, уд, гуаяк, пачули.
",-,Италия
Парфюмерная вода Neydo  Wood haze 01.11,4.1,4 680,https://goldapple.ru/19000200198-wood-haze-01-11,"Сон Селин перенесет вас в мастерскую, где пахнет мореным деревом и старыми книгами. Ноты шафрана и мяты будоражат романтические воспоминания и наполняют теплом и творческой энергией. Аромат-вдохновение, благодаря которому так легко влюбиться или… создать шедевр!

Страна производства парфюмерной композиции -  Франция.

Celine, 01.11
Я стою на балконе и в задумчивости что-то вырезаю. Это как бездумно рисовать в блокноте, болтая по телефону, только вожу я не ручкой по бумаге, а ножом по дереву. Профессиональное. В доме напротив на точно таком же балконе мужчина поглощен чтением. Он не обращает на меня никакого внимания, поэтому я могу спокойно его рассмотреть. Черты его лица, наклон головы, движение рук кажутся мне знакомыми. Когда он переворачивает очередную страницу, я слышу шелест бумаги и чувствую запах старой книги. 

В балконном проеме появляется босоногая женщина, ветер играет ее длинными волосами, а воздух наполняется ароматом янтаря, нагретого солнцем. Женщина протягивает мужчине чашку и нежно его целует. Когда он делает глоток, я ощущаю на губах вкус шафрана и мяты. Кинолентой мелькают страницы из дневника памяти. Я вспомнила! Мы познакомились лет пять назад на улице, где он продавал свои стихи, отпечатанные на пишущей машинке. 

Помню наш первый поцелуй, как убегали от дождя на Бали и как, встав на одно колено, он преподнес мне шкатулку сандалового дерева... Вдруг я оказываюсь за его спиной. Опускаю взгляд и вижу свои босые ноги. 
В моих руках его портрет, вырезанный на дереве.",Только для наружного применения.,Республика Корея
Туалетная вода Dolce & Gabbana  L’Imperatrice Eau de Toilette,4.7,5 850,https://goldapple.ru/7201000012-3-l-imperatrice,"Туалетная вода L'Imperatrice от известного итальянского бренда DOLCE & GABBANA - воплощение женской чувственности, нежности и тайны, которую стремится узнать каждый мужчина.
Эксклюзивная туалетная вода для роскошных дам
Образ, вдохновивший парфюмеров DOLCE & GABBANA на создание композиции L'Imperatrice  - это молодая, независимая и эффектная женщина, обладающая магнетическим шармом, прирожденным обаянием и очаровательной харизмой, перед которой невозможно устоять.
Аромат создает мягкую, но в то же время динамичную и интригующую атмосферу страсти и соблазна, завораживая и увлекая окружающих в мир сладких грез и фантазий. Туалетная вода L'Imperatrice от DOLCE&GABBAN универсальна. Она одинаково хорошо сочетается как с дневным, так и с вечерним нарядом, подчеркивая яркую индивидуальность, неотразимость и безупречное чувство стиля своей обладательницы.
Верхние ноты аромата раскрываются в роскошном сочетании аккордов экзотических фруктов и розовых цветов. Затем в ансамбль плавно вступают гармоничные ноты сердца, которые проявляются в легком и свежем звучании спелого арбуза и ягод киви. Нежный и чарующий базовый шлейф, сотканный из цветочно-пряных розовых цикламенов и мускуса, наполнит утонченный аромат бодрым, весенним настроением.
Идеальная гармония содержания и формы
Для флакона аромата L'Imperatrice DOLCE & GABBANA парфюмеры избрали элегантную классическую форму. Флакон выполнен из прозрачного органического стекла, декорированного стильной надписью с названием композиции и бренда. Черный колпачок символизирует интригу и загадочность, которые сокрыты в бездонных глубинах женской души.",-,Франция
